birthday,birthday_guys
1906-11-16,"Albert Owen"
1868-11-15,"Albert P."
1918-5-7,"Albert Paul"
1883-9-5,"Albert Peter"
1886-8-30,"Albert R., Wilbur Floyd"
1886-4-11,"Albert Richard"
1885-4-19,"Albert Roy"
1874-12-7,"Albert Samuel"
1959-4-2,"Albert Samuel"
1965-3-12,"Albert Shawn, Steven Allen"
1881-3-1,"Albert Simpson"
1891-6-23,"Albert Stanley, John Gooding"
1886-1-16,"Albert Theodore"
1879-9-22,"Albert Thomas"
1892-6-1,"Albert Thomas"
1912-1-1,"Albert Thomas"
1918-9-12,"Albert Walter"
1944-7-22,"Albert Walter"
1856-1-4,"Albert Ward"
1908-2-25,"Albert Wayne"
1895-6-2,"Albert Wells"
1884-9-8,"Albert Wentworth"
1943-12-24,"Albert Wilfred"
1934-12-19,"Albert William"
1913-5-10,"Albert William"
1861-3-9,"Albert Wright"
1946-10-14,"Albert, Frank Thomas"
1897-8-24,"Albert, John Allen, Francis Bruce"
1988-2-28,"Albertin Aroldis"
1975-7-5,Alberto
1956-5-6,Alberto
1983-10-14,"Alberto A."
1988-10-25,"Alberto Antonio"
1986-6-10,"Alberto Jose"
1962-9-8,"Alberto Judas"
1903-1-31,"Albie Larrison"
1886-10-26,"Albin Oscar"
1914-10-30,"Aldon Jay"
1948-12-23,"Alec John"
1884-10-9,"Alec Peter"
1890-5-14,Alejandro
1959-6-25,Alejandro
1959-2-14,Alejandro
1957-8-26,Alejandro
1976-4-6,Alejandro
1967-11-20,Alejandro
1986-9-20,Alejandro
1984-4-11,"Alejandro Alberto, Andres Eloy"
1955-10-9,"Alejandro Antonio"
1976-6-19,"Alejandro Antonio, Dustan Kyle"
1912-7-24,"Alejandro Eloy"
1982-4-26,"Alejandro Jose"
1986-8-4,"Alejandro Luis"
1988-9-8,"Alejandro, Chance Kraig"
1988-8-14,Alessandro
1917-3-5,Alex
1972-3-29,Alex
1966-4-8,"Alex Anthony"
1988-8-29,"Alex Bruce"
1981-2-18,"Alex Eleazar, Alexis Israel"
1987-7-26,"Alex James, Vidal Vicente"
1977-11-17,"Alex Joseph"
1938-9-27,"Alex Thomas M."
1942-12-7,Alexander
1992-1-31,Alexander
1986-11-20,Alexander
1858-5-16,Alexander
1892-11-11,Alexander
1866-7-14,Alexander
1861-4-28,Alexander
1922-6-25,Alexander
1921-1-11,Alexander
1910-2-14,Alexander
1903-1-4,Alexander
1914-11-22,Alexander
1969-8-13,Alexander
1977-2-15,Alexander
1965-8-17,Alexander
1977-5-28,Alexander
1971-12-24,"Alexander Alberto"
1884-8-25,"Alexander Aloysius, Thomas Henry"
1955-6-1,"Alexander Ames"
1865-2-16,"Alexander Bennett"
1850-10-3,"Alexander Brown"
1985-7-25,"Alexander Crawford"
1889-2-6,"Alexander Cummings"
1909-3-26,"Alexander Dominick"
1988-4-1,"Alexander Edward"
1863-12-9,"Alexander F."
1881-11-13,"Alexander Francis"
1877-3-7,"Alexander Franklin"
1889-5-12,"Alexander George, Albert Christopher"
1856-8-14,"Alexander J."
1891-3-19,"Alexander John"
1877-5-9,"Alexander Johnson, Lewis L."
1979-11-5,"Alexander Jose"
1978-9-6,"Alexander Jose, Frank J."
1820-4-17,"Alexander Joy"
1869-12-25,"Alexander M."
1988-12-31,"Alexander Manuel"
1906-8-29,"Alexander Marcus, Jonah John"
1973-7-19,"Alexander Melchor"
1987-10-7,"Alexander Miller"
1886-2-21,"Alexander Norman"
1982-10-31,"Alexander Omar"
1926-4-3,"Alexander Peter"
1974-10-3,"Alexander Ramon"
1924-8-26,"Alexander Raymond"
1869-11-21,"Alexander Roger, William Frederick"
1973-4-8,"Alexander Scott"
1916-11-2,"Alexander Sebastian"
1869-10-11,"Alexander Shepard, William Henry"
1963-4-18,"Alexander, Peter Louis"
1971-1-11,"Alexander, Reynaldo"
1981-9-22,"Alexei Fernando"
1984-7-20,Alexi
1989-4-6,"Alexi Jose"
1968-10-5,Alexis
1978-8-8,"Alexis de Jesus, Brian Lee"
1976-8-26,"Alexis, Geoffrey Michael"
1901-9-4,"Alfons Francis"
1926-1-23,Alfonso
1965-8-10,Alfonso
1957-10-30,Alfonso
1957-1-23,Alfonso
1976-1-7,"Alfonso Guilleard, Eric Serge"
1953-10-14,"Alfonso Rafael"
1908-8-20,"Alfonso Ramon"
1875-2-4,"Alfonzo DeFord, James A."
1959-2-10,"Alfornia, John Joseph"
1892-2-15,Alfred
1924-7-11,Alfred
1926-6-27,Alfred
1928-9-26,"Alfred Allen"
1923-6-16,"Alfred Aloysius"
1889-8-8,"Alfred Boyd, James J."
1902-1-7,"Alfred Chester, Clifford Hiram"
1847-9-26,"Alfred Dean"
1891-11-5,"Alfred Earle"
1886-8-3,"Alfred Edward"
1914-8-26,"Alfred Edward"
1951-10-25,"Alfred Edward, Henry John"
1890-4-13,"Alfred Frederick Joseph, George Penfield"
1973-1-10,"Alfred Gary"
1864-4-18,"Alfred George"
1896-7-20,"Alfred George, William Clarence"
1868-3-13,"Alfred Gideon"
1850-11-30,"Alfred Gorden"
1909-9-23,"Alfred Gwinn"
1842-3-31,"Alfred Hector"
1889-9-27,"Alfred Henry"
1852-2-14,"Alfred Henry"
1901-10-30,"Alfred Henry"
1930-2-13,"Alfred Henry"
1946-5-28,"Alfred Henry"
1893-5-20,"Alfred Holmes, Walter Jacob"
1916-9-28,"Alfred Hubert"
1928-1-29,"Alfred James"
1840-5-25,"Alfred James"
1939-12-22,"Alfred John"
1905-12-11,"Alfred John"
1907-10-12,"Alfred John, Philip"
1911-5-18,"Alfred Joseph"
1890-8-20,"Alfred Joseph"
1875-11-11,"Alfred Joseph"
1878-9-27,"Alfred Joseph, Clarence Veasey"
1903-12-13,"Alfred Kendricks"
1839-1-18,"Alfred L."
1957-8-24,"Alfred Lee"
1873-5-22,"Alfred Louis"
1915-8-24,"Alfred Lovell"
1928-5-16,"Alfred Manuel"
1869-3-6,"Alfred Maris"
1927-10-5,"Alfred Michael"
1898-9-16,"Alfred Modesto"
1902-12-3,"Alfred Ray"
1873-7-16,"Alfred Robert"
1914-5-20,"Alfred Stanley"
1918-1-11,"Alfred Stephen, Ernest Henry"
1917-5-7,"Alfred Thomas"
1852-12-31,"Alfred Tristram"
1848-8-31,"Alfred Valentine"
1924-8-6,"Alfred Vanoide"
1906-4-13,"Alfred Voyle"
1849-5-6,"Alfred W."
1914-1-28,"Alfred Walton"
1869-3-24,"Alfred William"
1958-9-7,"Alfred William"
1952-8-16,"Alfred Willis"
1957-3-15,Alfredo
1978-1-16,Alfredo
1966-4-7,Alfredo
1982-12-8,Alfredo
1984-7-7,Alfredo
1881-5-11,"Alfredo A., Jesse Rhoades"
1957-10-6,"Alfredo Claudino"
1944-7-4,"Alfredo Cruz"
1960-8-11,"Alfredo Jose"
1981-5-8,"Alfredo, John Kevin"
1869-5-23,"Algernon Griggs"
1887-6-5,"Allan Edward"
1929-2-5,"Allan Fulton"
1941-12-12,"Allan Sydney"
1893-7-31,Allen
1860-12-9,Allen
1863-3-4,"Allen A., John George"
1897-12-25,"Allen Clifford"
1971-8-23,"Allen Gabriel"
1888-10-27,"Allen George"
1927-2-7,"Allen Gordon, Joseph Paul"
1977-8-15,"Allen Harry"
1896-12-4,"Allen Howard"
1927-5-26,"Allen Isaiah"
1917-9-17,"Allen Jones"
1970-11-18,"Allen Kenneth"
1941-5-10,"Allen Kent"
1919-5-1,"Allen Lee"
1907-6-23,"Allen Lindsey"
1987-12-5,"Allen Lorenz"
1960-9-6,"Allen Robert, Gregory William"
1950-8-13,"Allen Russell"
1891-12-14,"Allen Seymour"
1893-4-27,"Allen Sutton"
1984-7-18,"Allen Thomas"
1905-3-28,"Allen Wilbert"
1968-11-29,"Allen Zelmo, Pedro"
1904-10-31,"Allyn McClelland"
1914-5-11,"Almon Edward"
1965-10-23,"Alois Terry"
1947-4-21,"Alonza Benjamin"
1947-9-17,Alonzo
1857-11-9,Alonzo
1883-6-16,"Alonzo Albert, John Francis"
1877-7-29,"Alonzo Earl"
1853-6-16,"Alonzo P."
1964-12-12,"Alonzo Sidney"
1860-6-11,"Aloysius C."
1914-1-19,"Aloysius Edward, Benjamin Baldy"
1926-8-29,"Aloysius Francis"
1907-9-12,"Aloysius Frank, Spurgeon Ferdinand"
1902-5-22,"Aloysius Harry, Decatur Poindexter"
1887-7-21,"Aloysius James"
1881-6-16,"Aloysius Jerome"
1892-5-7,"Aloysius Joseph"
1913-10-19,"Alpha Eugene"
1845-8-4,"Alphonse Case"
1963-11-18,"Alphonse Dante"
1928-2-7,"Alphonse Eugene, Felipe Angel"
1941-6-28,"Alphonso Erwin, Leonard Joseph Stephen, Frederick Lealand"
1908-12-25,"Alta Albert, William Benjamin, Joseph Gregg"
1954-11-9,"Altar Alfonse"
1925-4-16,"Alton Leo"
1874-1-28,"Alva Burton"
1923-3-7,"Alva Lee"
1882-1-31,"Alva Mitchell"
1916-10-7,"Alva Russell"
1929-12-23,"Alva Warren"
1890-11-23,"Alva William"
1893-1-25,"Alvah Edson"
1890-1-31,"Alvah Jackson"
1962-2-19,"Alvaro Alberto"
1969-1-6,Alvin
1939-3-13,"Alvin David"
1953-1-25,"Alvin Earl"
1939-3-26,"Alvin Edward"
1981-12-26,"Alvin Enrique, Omar Rafael, Dustin Aaron"
1899-1-11,"Alvin Floyd"
1960-9-9,"Alvin Glenn"
1895-9-15,"Alvin Hugh"
1908-7-15,"Alvin Jacob"
1921-8-25,"Alvin Joseph"
1935-12-26,"Alvin Neill"
1938-5-15,"Alvin O'Neal"
1922-1-7,"Alvin Ralph"
1953-8-8,Alvis
1909-8-6,"Alvis Lindel"
1918-4-25,"Alvis Newman"
1938-12-6,"Amado Ruperto"
1979-7-4,Amauri
1974-1-19,Amaury
1975-5-20,"Amaury Miguel, Luis Rafael"
1984-4-19,"Ambiorix, Jesus Andres"
1912-2-17,"Ambrose Francis"
1913-6-4,"Ambrose Joseph, Joseph Francis"
1883-4-29,"Ambrose Moses, William Alexander, Walter S."
1880-9-9,"Ambrose Nicholas"
1943-6-27,"Americo Peter"
1889-1-22,"Amos Aaron"
1947-4-26,"Amos Joseph"
1883-2-5,"Amos Richard"
1848-9-4,"Amos Smith"
1871-5-30,"Amos Wilson"
1870-3-18,"Amzie Beal"
1978-11-3,"Anastacio Euclides"
1968-3-11,"Anders Gar"
1874-11-26,"Anderson Daniel"
1981-1-25,"Anderson Javier"
1981-3-23,"Anderson, Tony Francisco"
1949-8-13,Andre
1988-7-5,"Andre Albanez"
1958-5-18,"Andre Anter"
1957-10-2,"Andre Levett"
1954-7-10,"Andre Nolan"
1908-10-18,"Andrea Ettore"
1989-9-4,"Andrelton A."
1971-4-5,Andres
1981-1-5,Andres
1955-5-25,Andres
1966-3-4,"Andres Alberto"
1936-8-28,"Andres Antonio"
1968-2-5,"Andres Confesor, Roberto"
1963-11-10,"Andres Perez"
1978-1-26,"Andres Yungo, Esteban, Steve"
1965-11-16,Andrew
1922-11-1,Andrew
1921-2-25,Andrew
1985-10-6,Andrew
1981-2-17,"Andrew Aaron"
1897-11-21,"Andrew Aird"
1987-12-3,"Andrew Allen"
1884-11-30,"Andrew Anthony"
1931-10-18,"Andrew Arthur"
1943-6-20,"Andrew Auguste"
1985-10-31,"Andrew B., Luis Javier"
1856-1-3,"Andrew Bernard"
1967-8-30,"Andrew Bernard"
1879-9-17,"Andrew Bishop"
1986-9-11,"Andrew Burton, Kyle Nathaniel"
1967-8-20,"Andrew Charles"
1983-9-13,"Andrew Christian"
1963-3-27,"Andrew Clark, Michael Edward"
1873-9-26,"Andrew Cottrell"
1974-6-27,"Andrew Dane"
1970-12-5,"Andrew David"
1953-10-7,"Andrew David"
1951-10-18,"Andrew Earl, Rodolfo"
1983-8-9,"Andrew Edward"
1979-8-27,"Andrew Elias, Thomas Christian"
1896-2-4,"Andrew Emil"
1889-10-29,"Andrew Ewing"
1888-11-13,"Andrew Francis"
1988-8-11,"Andrew Francis"
1983-1-13,"Andrew Frank"
1968-11-9,"Andrew Godfrey"
1990-6-17,"Andrew Gregory, Matthew D."
1876-2-6,"Andrew Henry"
1904-10-25,"Andrew Howard"
1904-2-7,"Andrew Jackson"
1908-8-16,"Andrew Jackson"
1846-6-1,"Andrew Jackson"
1871-8-12,"Andrew Jackson"
1882-11-20,"Andrew James"
1985-12-24,"Andrew James"
1985-5-18,"Andrew James Rudolph"
1988-12-30,"Andrew James, Bryce Everett"
1981-4-9,"Andrew James, Dennis Scott, Christopher Michael"
1972-8-11,"Andrew Jason"
1974-5-15,"Andrew Jay"
1975-10-8,"Andrew John"
1959-3-5,"Andrew John"
1941-10-5,"Andrew John"
1917-12-10,"Andrew John"
1990-3-22,"Andrew John, Brett Edward"
1956-10-25,"Andrew Joseph"
1971-1-12,"Andrew Junipero"
1898-4-24,"Andrew Lewis"
1991-6-5,"Andrew M."
1846-11-9,"Andrew M."
1971-11-19,"Andrew Mark"
1985-5-21,"Andrew Mark"
1984-9-10,"Andrew Marshall"
1973-12-11,"Andrew Michael"
1977-7-7,"Andrew Mulligan"
1961-12-22,"Andrew Neal"
1880-5-5,"Andrew Paul"
1884-8-30,"Andrew Raymond"
1979-9-19,"Andrew Richard, Leonard Edward"
1988-9-13,"Andrew Robert"
1984-5-31,"Andrew Scott"
1990-8-22,"Andrew Scott"
1986-10-10,"Andrew Stefan"
1924-11-12,"Andrew Viggo"
1898-2-1,"Andrew Warren"
1920-9-12,"Andrew Wasal"
1979-7-31,"Andrew William, Jason Joseph"
1914-7-18,"Andrew, Benjamin Franklin"
1969-8-21,Andujar
1922-11-13,"Andy Holm"
1966-11-7,"Andy Lee, Williams, Brian Stacy"
1983-10-21,"Andy Manuel, Casey Michael, Donald Zachary"
1987-12-13,Aneury
1890-8-2,Angel
1942-8-4,"Angel Alfonso, Cleon Joseph"
1981-7-22,"Angel Aristides"
1914-11-10,"Angel Felix"
1986-6-8,"Angel Isaac"
1983-9-20,"Angel Luis"
1941-6-20,"Angel Luis"
1969-11-9,"Angel Luis"
1981-7-2,"Angel Manuel"
1975-2-16,"Angel Maria"
1981-12-14,"Angel Moises, Shaun Michal"
1952-10-24,"Angel Rafael, Reginald Sherard, Omar Renan"
1945-5-5,"Angel Ramon"
1979-8-14,"Angel Ramon"
1965-5-12,"Angel Ruben"
1971-5-25,"Angel Santos, Sean Patrick"
1915-11-20,"Angel Valdes"
1969-4-18,"Angelo Benjamin"
1966-10-6,"Angelo Dominic"
1934-8-22,"Angelo George"
1912-11-24,"Angelo John"
1889-9-28,"Anna Sebastian, Raymond Willis, John Frank"
1917-9-22,"Anselm Winn"
1884-5-14,Anthony
1951-9-18,Anthony
1944-10-4,Anthony
1982-10-28,"Anthony Allen, Jeremy Allen"
1912-9-20,"Anthony Andrew, Albert Eldon"
1957-11-25,"Anthony Bruce"
1959-7-1,"Anthony Bruce"
1900-12-16,"Anthony Charles"
1966-3-6,"Anthony Charles, Joseph Geroy"
1956-6-23,"Anthony Clair"
1944-12-6,"Anthony Darrin"
1975-2-8,"Anthony David, James Vo"
1966-8-17,"Anthony Dirk"
1986-5-30,"Anthony Edward"
1987-11-1,"Anthony Edward, Don Atley, Steven A."
1907-11-8,"Anthony Francis"
1909-10-7,"Anthony Francis"
1906-12-7,"Anthony Francis"
1970-10-22,"Anthony Francisco"
1937-11-21,"Anthony Fred"
1970-12-9,"Anthony Giacinto"
1982-11-29,"Anthony James"
1971-10-12,"Anthony James"
1990-4-18,"Anthony James, Evan Patrick, Henderson Javier"
1963-4-24,"Anthony John"
1869-5-30,"Anthony John"
1859-1-30,"Anthony John"
1957-1-14,"Anthony John"
1976-12-30,"Anthony John, Bradley Roy"
1973-7-18,"Anthony Joseph"
1947-8-1,"Anthony Joseph"
1861-5-29,"Anthony Joseph"
1960-5-9,"Anthony Keith"
1982-10-4,"Anthony Keith, Jered David, Ryan Keith"
1981-10-16,"Anthony Loza"
1974-3-2,"Anthony Marcus"
1976-12-21,"Anthony Michael"
1903-12-6,"Anthony Michael"
1989-7-5,"Anthony Michael"
1984-10-31,"Anthony Michael"
1963-4-9,"Anthony Michael, Jose Alberto"
1985-5-30,"Anthony Michael, Noel Fernando"
1978-6-22,"Anthony Michael, William Charles"
1973-7-23,"Anthony Nomar"
1961-8-23,"Anthony Paul"
1915-7-9,"Anthony Paul"
1984-7-15,"Anthony Paul, Brandon Paul"
1989-9-9,"Anthony R."
1985-9-10,"Anthony Ray, Neil Martin, Matthew Ryan"
1966-3-19,"Anthony Raymond"
1956-7-18,"Anthony Razor, Claude Lee"
1945-1-7,"Anthony Richard"
1990-8-10,"Anthony Robert"
1925-8-5,"Anthony Robert"
1986-9-19,"Anthony Russell"
1974-4-29,"Anthony Scott, Hector Luis"
1900-8-12,"Anthony Spencer"
1984-1-6,"Anthony Thomas, James Richard"
1911-12-21,"Anthony Thomas, Joshua"
1892-7-3,"Anthony Vincent"
1989-8-8,"Anthony Vincent, Greg Joseph"
1983-8-29,"Anthony Vito"
1973-5-14,"Anthony Warren, Bradley Kenneth"
1966-1-19,"Anthony Wayne"
1985-8-24,"Anthony Yoel, Christian J."
1983-10-8,"Antoan Edward"
1927-12-23,"Anton Ambrose"
1914-4-8,"Anton Andrew"
1860-12-4,"Anton C."
1891-4-30,"Anton Christian"
1899-4-5,"Anton Frank"
1897-10-31,Antone
1913-1-19,"Antone James"
1908-5-5,Antonio
1918-10-30,Antonio
1972-4-16,Antonio
1979-5-10,"Antonio Enrique"
1972-4-26,"Antonio Felipe, Brian James, Francisco"
1957-6-4,"Antonio Francesco"
1985-9-21,"Antonio Francisco"
1965-2-20,"Antonio Gustavo, Paul Tyrrell"
1978-4-29,"Antonio Jose"
1908-4-12,"Antonio Joseph"
1966-4-20,"Antonio Llamas"
1935-12-19,"Antonio Nemesio"
1973-4-12,"Antonio Pedro"
1953-7-2,"Antonio Rafael"
1975-4-21,"Aquilino, Carlos"
1978-6-25,"Aramis, Luke Brandon"
1886-10-31,"Archibald Alexander"
1923-11-25,"Archibald Clifton"
1912-7-31,"Archibald Edwin, Jesse Glenn"
1881-1-21,"Archibald Joseph"
1893-8-31,"Archibald Murphy"
1873-5-30,"Archibald Ray"
1903-10-20,"Archibald Stewart"
1877-11-12,"Archibald Wright"
1946-1-3,"Archie Edward"
1967-12-30,"Archie Ray"
1911-5-12,"Archie Richard"
1987-8-7,"Argelis Rafael, Kirk Robert, Ryan Cole"
1961-11-4,"Argenis Antonio, John Mark, Kenneth Logan"
1987-2-12,"Argenis Jose, David Fletcher"
1982-9-25,"Argenis N."
1969-10-22,"Ariel, Hector"
1991-10-29,Arismendy
1896-3-16,"Arlas Walter"
1892-2-24,"Arley Wilbur"
1982-3-17,"Arlington John"
1940-8-15,"Arlo Adolph, Jose Rafael"
1920-8-21,"Armand Joseph, Mizell George, Gerald Lee"
1926-12-7,Armando
1887-10-3,Armando
1972-10-26,Armando
1972-11-3,"Armando German"
1983-8-31,"Armando Leisdeker"
1966-5-1,"Armando Martin"
1971-9-13,"Armando, Brent David"
1967-10-29,"Armando, Narciso Chicho, Gregory James"
1887-1-4,"Armstrong Frederick"
1951-9-19,"Arnaldo Juan"
1982-6-21,"Arnaldo Rafel"
1905-5-18,"Arndt Ludwig"
1936-11-22,"Arnesta Joe"
1936-5-21,"Arnold Barry"
1933-6-4,"Arnold Carl"
1888-9-25,"Arnold George, Mathias John"
1918-3-14,"Arnold Lee"
1916-4-4,"Arnold Malcolm, James Willard"
1931-7-5,"Arnold Mario"
1949-2-3,"Arnold Ray"
1912-6-19,"Arnold Revola, Donald Joseph"
1915-8-9,"Arnold Robert"
1942-12-6,"Arnold William"
1953-8-15,"Arnulfo Acevedo"
1990-11-13,Arodys
1987-6-16,"Arquimedes Euclides"
1973-8-24,Arquimedez
1888-9-14,"Artemus Ward, Emil Henry"
1862-1-21,Arthur
1885-1-5,Arthur
1882-4-10,Arthur
1871-5-11,Arthur
1938-6-4,Arthur
1858-2-14,"Arthur Albert"
1849-1-29,"Arthur Algernon"
1894-11-23,"Arthur Andrew, Jesse Lee"
1914-3-4,"Arthur Anthony"
1915-6-1,"Arthur Beauregard"
1899-8-2,"Arthur Bernard"
1943-2-16,"Arthur Bobby Lee"
1884-12-10,"Arthur Carle"
1905-1-2,"Arthur Carter, Ralph"
1895-12-2,"Arthur Charles"
1863-3-17,"Arthur Charles"
1870-2-9,"Arthur Clifford"
1879-4-7,"Arthur Coggshall"
